Account,Token Account,Quantity,AIRDROP
BaKAWJJE8fEuBkYL4MQ4Bbdw3tYFW2H9dG22u3wahbX3,BfrBQZNe9zzzK5R9htJtrabK11pn8fosQJh7dLKtU5WM,285193.86,2851938.6
FWTZM3NgjdQDpMohot4zZjksFBqrVu83bvTmG5jjFNvR,5wEUwjjNPuUdHektsDFSntdLCTdSdBuZbReToGyJayWE,284530.34,2845303.4
HUdvHMaYcMUcrNU8mS5RPEFNmzZNXhKdmXLsjZqQVNMy,3yRrKqd2ZUrF9r6qxpfyu9S8qQk6DecZKFpLJWc6NBYZ,275632.78,2756327.8
9fxTrmghiciFf7CegsBSaMN8V68Q2g7tWCXF9h7r62h6,DtERSMiWgFX2BvpgDUXWSkGuvT92rNu4fbQahcFDiExZ,272682.63,2726826.3
6KD53LNPyjZGHtJXrR4AakHbUF5k94JEwCPtJkkVtUJ7,8ypmjXeSEHUJVsqgUM2q1ossMaH265Nm7yN6eJh7bHg9,267367.65,2673676.5
BE1WqWrRV4CTCdjH37A4SZfoQe18sDiLMiFL2WFFWe8v,CYx958TtnDkMCcdxzjdQJpNp17QUvbpwubSL5soqhKR4,266217.64,2662176.4
Ah83cESSeBA7G6KYPc93cgdhbfXrYV36bXckMEGzPEk2,D2RTMce3i8dod3ShSC88aBvLTumdwqpwRFiUT62kKzJ7,261324.83,2613248.3
56dxE1tUJzRdzxVWqJzfEDpRWiJCdfcL11jby8NWNn1c,3rXQVfC5NCto7xcWaAxyTo7ZV7CuqSrrprWzXXkRtpUf,256019.83,2560198.3
4rTgjbShG1TzrzPPDUS2QjMH2WUd1sKz7iRHqTUvXwVo,9ph4u3p9BikMX5yNcaxrKE9q7DsKpyw5cD1uKLSR7yTj,250000,2500000
GDpy1zq88egXeyrm8c8Ny6LjAbAhKUV79fqDU5soszqS,E2xe9fn2pSF9ySd4ab4SuiHecxm4apnWj4ddFMwJ3M43,250000,2500000
7YvgX7eRKKg9YHVMsRXeDpB4pPFC5mKYiwzF1XkhdQci,DknskvUDb3rv2ygB4U5LfAd6h2rNxxfyuRJwzc1a5XHo,240026.03,2400260.3
4m56Gujd7tquZ4La1pt1C6LjznyPiaTVvx3rJqNijcUj,FSDDPSUSakX75YxLeNZC6im5HMwHWLN1sS5AkAeAE9S5,233993.14,2339931.4
G7ePkZFejdEF3fd5pUN2faacjzn2yqLn439zTg3zZsJw,5Rz7fmvTCFfzUyWo5pqR61mdLm5kBM5DjX9HzHmuAdEJ,229174.46,2291744.6
5KfRNSMTsus8um6hoJwqBWPZV7Eutx3ZJpk6NH9HELE,HRk9bgkWtx4u2MHQcYxkJXpMLhPgBZ1J8AVZQGmD7ED7,223219.37,2232193.7
